job_id,company,role,source,fit_score,discipline_flag,status,date_found,apply_link
b67b296e3af6,"Gusto, Inc.","Senior Staff Product Designer, Finance",weworkremotely,6,stretch (senior/3+ yr); remote — confirm India-eligible,packet-ready,2026-07-23,https://weworkremotely.com/remote-jobs/gusto-inc-senior-staff-product-designer-finance
da0c9226676e,10 Ancestry.com Operations,"Principal Design Engineer, Storytelling",weworkremotely,5,stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-23,https://weworkremotely.com/remote-jobs/10-ancestry-com-operations-principal-design-engineer-storytelling
5283fca9381c,Dropbox,Infrastructure Software Engineer,weworkremotely,3,likely mismatch (UI/UX or software design); remote — confirm India-eligible,found,2026-07-23,https://weworkremotely.com/remote-jobs/dropbox-infrastructure-software-engineer
a7c2dca74b02,Stripe,Product Counsel (Crypto/Bridge),weworkremotely,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-23,https://weworkremotely.com/remote-jobs/stripe-product-counsel-crypto-bridge
f93b0f68dec4,Dropbox,Senior Infrastructure Software Engineer,weworkremotely,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-23,https://weworkremotely.com/remote-jobs/dropbox-senior-infrastructure-software-engineer
2301249e4339,Coinbase,Derivative Sales Analyst (Prosumer Sales),weworkremotely,2,not a physical-design role; remote — confirm India-eligible,found,2026-07-23,https://weworkremotely.com/remote-jobs/coinbase-derivative-sales-analyst-prosumer-sales
343ee6525eae,Stripe,"Engineering Manager, Developer Productivity AI",weworkremotely,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-23,https://weworkremotely.com/remote-jobs/stripe-engineering-manager-developer-productivity-ai
2c3709b7dc29,Stripe,"Senior Staff Product Designer, Risk",weworkremotely,6,stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-24,https://weworkremotely.com/remote-jobs/stripe-senior-staff-product-designer-risk
b2d19d1b606b,Stripe,"Program Manager, Risk Ops Enablement",weworkremotely,4,likely mismatch (UI/UX or software design); remote — confirm India-eligible,found,2026-07-24,https://weworkremotely.com/remote-jobs/stripe-program-manager-risk-ops-enablement
f33eed837490,Twilio,Principal Presales Engineer,weworkremotely,3,stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-24,https://weworkremotely.com/remote-jobs/twilio-principal-presales-engineer-1
7eec06df23b2,Twilio,Principal Presales Engineer,weworkremotely,3,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-24,https://weworkremotely.com/remote-jobs/twilio-principal-presales-engineer
669d1a3dfde5,Trust Based Mobility,Video Editing Specialist (Direct-Response / AI Video Editor),weworkremotely,2,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-24,https://weworkremotely.com/remote-jobs/trust-based-mobility-video-editing-specialist-direct-response-ai-video-editor
65c1d4a0476c,Stripe,"User Risk Strategist, Ecosystem Risk Strategy",weworkremotely,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-24,https://weworkremotely.com/remote-jobs/stripe-user-risk-strategist-ecosystem-risk-strategy
e860eceae0f4,Stripe,"Risk Strategist, Card Network Compliance",weworkremotely,2,likely mismatch (UI/UX or software design); stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-24,https://weworkremotely.com/remote-jobs/stripe-risk-strategist-card-network-compliance
c215c5639ae4,Tribe Wellness,Product Sales Specialist - Pet Health (CST timezone),remotive,1,not a physical-design role; stretch (senior/3+ yr); remote — confirm India-eligible,found,2026-07-24,https://remotive.com/remote-jobs/sales/product-sales-specialist-pet-health-cst-timezone-2091072
